Date,IndividualLong,IndividualShort,EntityLong,EntityShort,Total,AllShorts,AllLong,AllIndividual,AllEntity,RatioIndividualPos,RatioEntityPos,RatioEntityShort,RatioEntityLong,RatioIndividualShort,RatioIndividualLong,Open,High,Low,Close,Adj Close,Volume
2012-10-01,305319,220095,847712,932936,2306062,1153031,1153031,525414,1780648,0.22784036162080637,0.7721596383791937,0.40455807346029726,0.3676015649188964,0.09544192653970275,0.13239843508110363,1.285417,1.295833,1.265417,1.265833,1.201329,309600
2012-10-02,322226,206921,850212,965517,2344876,1172438,1172438,529147,1815729,0.22566097311755504,0.7743390268824449,0.41175610138873014,0.3625829254937148,0.08824389861126986,0.13741707450628518,1.290417,1.2925,1.26,1.277083,1.212006,259200
2012-10-03,328514,147768,771271,952017,2199570,1099785,1099785,476282,1723288,0.2165341407638766,0.7834658592361234,0.43281959655750896,0.35064626267861443,0.06718040344249103,0.14935373732138554,1.273333,1.2875,1.260417,1.260417,1.196189,81600
2012-10-04,372234,172919,759993,959308,2264454,1132227,1132227,545153,1719301,0.24074368479112404,0.7592563152088759,0.4236376627655055,0.33561865244337047,0.0763623372344945,0.16438134755662956,1.271667,1.271667,1.24375,1.269167,1.204494,204000
2012-10-05,368560,205406,808178,971332,2353476,1176738,1176738,573966,1779510,0.24388011604962193,0.7561198839503781,0.41272228822388674,0.34339759572649137,0.08727771177611329,0.15660240427350863,1.291667,1.30625,1.277917,1.27875,1.213588,717600
2012-10-08,338448,236946,880435,981937,2437766,1218883,1218883,575394,1862372,0.23603331903062066,0.7639666809693794,0.40280199165957686,0.3611646893098025,0.09719800834042316,0.1388353106901975,1.270833,1.27125,1.249583,1.260833,1.196584,424800
2012-10-09,330402,198730,864904,996576,2390612,1195306,1195306,529132,1861480,0.22133746505079036,0.7786625349492097,0.41687065906136167,0.36179187588784795,0.0831293409386383,0.13820812411215203,1.239583,1.239583,1.2,1.205417,1.143992,919200
2012-10-10,341409,180498,891039,1051950,2464896,1232448,1232448,521907,1942989,0.2117359109674404,0.7882640890325596,0.42677256971490884,0.3614915193176507,0.07322743028509114,0.13850848068234928,1.204167,1.207083,1.17875,1.17875,1.118684,674400
2012-10-11,356385,221673,887063,1021775,2486896,1243448,1243448,578058,1908838,0.23244156571082988,0.7675584342891701,0.4108635825543167,0.35669485173485344,0.08913641744568329,0.1433051482651466,1.186667,1.2025,1.178333,1.183333,1.123033,480000
2012-10-12,410706,162997,810232,1057941,2441876,1220938,1220938,573703,1868173,0.23494354340679052,0.7650564565932095,0.43324927228082016,0.3318071843123893,0.06675072771917985,0.1681928156876107,1.18125,1.186667,1.162917,1.163333,1.104053,290400
2012-10-15,399481,133628,833672,1099525,2466306,1233153,1233153,533109,1933197,0.21615687591077506,0.783843124089225,0.44581856428196664,0.3380245598072583,0.05418143571803337,0.16197544019274168,1.171667,1.205417,1.171667,1.2,1.138851,463200
2012-10-16,415940,185174,830116,1060882,2492112,1246056,1246056,601114,1890998,0.24120665523860885,0.7587933447613912,0.42569595587999254,0.3330973888813986,0.07430404412000745,0.1669026111186014,1.218333,1.264583,1.215,1.2575,1.193421,1125600
2012-10-17,430318,213211,830093,1047200,2520822,1260411,1260411,643529,1877293,0.2552853791342665,0.7447146208657335,0.41542004949179273,0.32929457137394075,0.08457995050820724,0.17070542862605928,1.237917,1.262083,1.217083,1.239583,1.176417,576000
2012-10-18,437478,145653,842032,1133857,2559020,1279510,1279510,583131,1975889,0.227872779423373,0.772127220576627,0.44308250814765027,0.3290447124289767,0.056917491852349726,0.1709552875710233,1.24125,1.244167,1.223333,1.22625,1.163764,324000
2012-10-19,438589,139538,841184,1140235,2559546,1279773,1279773,578127,1981419,0.22587091617028957,0.7741290838297105,0.44548330055408264,0.32864578327562777,0.05451669944591736,0.1713542167243722,1.224583,1.224583,1.16875,1.1725,1.112753,585600
2012-10-22,377174,201421,881999,1057752,2518346,1259173,1259173,578595,1939751,0.22975198801117877,0.7702480119888212,0.4200185359755967,0.35022947601322457,0.07998146402440331,0.14977052398677546,1.187083,1.1925,1.170833,1.183333,1.123033,650400
2012-10-23,432713,220663,894792,1106842,2655010,1327505,1327505,653376,2001634,0.24609172846806604,0.753908271531934,0.41688807198466293,0.337020199547271,0.08311192801533704,0.162979800452729,1.1775,1.19875,1.1475,1.194167,1.133316,564000
2012-10-24,428384,166399,846854,1108839,2550476,1275238,1275238,594783,1955693,0.23320470374941776,0.7667952962505823,0.4347576687645757,0.3320376274860065,0.06524233123542429,0.16796237251399346,1.195833,1.195833,1.159167,1.164167,1.104844,530400
2012-10-25,444683,170674,837240,1111249,2563846,1281923,1281923,615357,1948489,0.24001324572536728,0.7599867542746327,0.4334304790537341,0.3265562752208986,0.06656952094626588,0.1734437247791014,1.170833,1.18875,1.16875,1.180833,1.120661,134400
2012-10-26,466232,172396,832341,1126177,2597146,1298573,1298573,638628,1958518,0.24589607207296008,0.75410392792704,0.433620982416853,0.32048294551018697,0.06637901758314704,0.17951705448981306,1.197917,1.210417,1.18125,1.205833,1.144387,525600
2012-10-31,482174,204907,844812,1122079,2653972,1326986,1326986,687081,1966891,0.2588878104215116,0.7411121895784883,0.4227923278768578,0.3183198617016306,0.07720767212314222,0.18168013829836938,1.2125,1.215417,1.18375,1.1875,1.126989,640800
2012-11-01,463993,191128,858633,1131498,2645252,1322626,1322626,655121,1990131,0.24765920222345547,0.7523407977765445,0.4277467704400186,0.324594027336526,0.07225322955998142,0.17540597266347402,1.204583,1.26875,1.204583,1.265833,1.201329,696000
2012-11-02,471467,187458,865485,1149494,2673904,1336952,1336952,658925,2014979,0.24642806922013655,0.7535719307798634,0.4298935189894626,0.32367841179040086,0.0701064810105374,0.17632158820959914,1.276667,1.276667,1.21875,1.222917,1.160601,273600
2012-11-06,413170,196213,879520,1096477,2585380,1292690,1292690,609383,1975997,0.23570345558486566,0.7642965444151343,0.4241067077180144,0.34018983669711994,0.07589329228198563,0.15981016330288003,1.268333,1.288333,1.258333,1.274583,1.209633,813600
2012-11-07,490698,179930,851897,1162665,2685190,1342595,1342595,670628,2014562,0.24975066941259277,0.7502493305874072,0.4329917063596989,0.31725762422770826,0.06700829364030106,0.18274237577229172,1.255833,1.255833,1.1875,1.196667,1.135688,804000
2012-11-08,481830,206377,874269,1149722,2712198,1356099,1356099,688207,2023991,0.2537451174287423,0.7462548825712577,0.42390784153664296,0.32234704103461476,0.07609215846335703,0.17765295896538527,1.201667,1.215833,1.171667,1.171667,1.111962,655200
2012-11-09,469299,237414,942902,1174787,2824402,1412201,1412201,706713,2117689,0.2502168600645376,0.7497831399354624,0.4159418524700096,0.3338412874654529,0.08405814752999041,0.16615871253454714,1.174583,1.203333,1.170833,1.174583,1.11473,235200
2012-11-12,442731,244521,924549,1122759,2734560,1367280,1367280,687252,2047308,0.2513208706336668,0.7486791293663332,0.4105812269615587,0.33809790240477444,0.08941877303844128,0.16190209759522556,1.183333,1.183333,1.153333,1.172083,1.112357,249600
2012-11-13,475020,250034,956196,1181182,2862432,1431216,1431216,725054,2137378,0.2532999910565561,0.7467000089434439,0.412649802685269,0.3340502062581749,0.08735019731473097,0.16594979374182514,1.165,1.169167,1.1425,1.144167,1.085863,504000
2012-11-14,484523,267350,970063,1187236,2909172,1454586,1454586,751873,2157299,0.258449139480237,0.741550860519763,0.4081009991846477,0.3334498613351153,0.09189900081535227,0.16655013866488472,1.146667,1.158333,1.105833,1.110833,1.054228,907200
2012-11-15,465995,262593,907506,1110908,2747002,1373501,1373501,728588,2018414,0.2652302400944739,0.7347697599055261,0.4044074230743188,0.33036233683120725,0.09559257692568116,0.16963766316879275,1.130833,1.130833,1.087917,1.09625,1.040388,4082400
2012-11-16,499777,242498,896576,1153855,2792706,1396353,1396353,742275,2050431,0.26579059879557676,0.7342094012044232,0.4131673724337614,0.32104202877066185,0.08683262756623862,0.17895797122933815,1.0975,1.10375,1.058333,1.096667,1.040784,1087200
2012-11-19,481654,213123,873529,1142060,2710366,1355183,1355183,694777,2015589,0.2563406565755326,0.7436593434244674,0.4213674463153685,0.32229189710909895,0.07863255368463153,0.17770810289090108,1.127917,1.145833,1.095833,1.128333,1.070836,1341600
2012-11-20,556629,157606,903330,1302353,2919918,1459959,1459959,714235,2205683,0.24460789652312154,0.7553921034768785,0.44602382669650315,0.3093682767803753,0.053976173303496876,0.19063172321962465,1.12,1.12,1.083333,1.102083,1.045924,736800
2012-11-21,573015,130336,944875,1387554,3035780,1517890,1517890,703351,2332429,0.2316870787738242,0.7683129212261758,0.4570667176145834,0.3112462036115924,0.0429332823854166,0.18875379638840759,1.104167,1.1125,1.09125,1.1025,1.046319,530400
2012-11-23,634343,134772,921213,1420784,3111112,1555556,1555556,769115,2341997,0.2472154650812957,0.7527845349187043,0.45668044094844545,0.2961040939702589,0.04331955905155456,0.20389590602974114,1.127917,1.14875,1.115417,1.14,1.081909,571200
2012-11-26,655368,134436,929760,1450692,3170256,1585128,1585128,789804,2380452,0.2491294078459279,0.7508705921540721,0.45759459173013156,0.29327600042394053,0.042405408269868425,0.20672399957605947,1.147917,1.158333,1.133333,1.154167,1.095354,732000
2012-11-27,739995,118770,939260,1560485,3358510,1679255,1679255,858765,2499745,0.2556982114092261,0.7443017885907739,0.4646361035101875,0.2796656850805863,0.035363896489812446,0.22033431491941366,1.156667,1.167917,1.14875,1.14875,1.090212,405600
2012-11-28,799647,103818,939013,1634842,3477320,1738660,1738660,903465,2573855,0.25981646785455464,0.7401835321454453,0.47014424901935975,0.2700392831260856,0.029855750980640264,0.2299607168739144,1.146667,1.176667,1.11875,1.174583,1.11473,756000
2012-11-29,766345,141022,920575,1545898,3373840,1686920,1686920,907367,2466473,0.2689419178147156,0.7310580821852845,0.4582013373485405,0.2728567448367439,0.04179866265145946,0.22714325516325612,1.181667,1.195833,1.158333,1.167083,1.107611,1380000
2012-11-30,754231,135041,926664,1545854,3361790,1680895,1680895,889272,2472518,0.26452336404118043,0.7354766359588195,0.4598306259462965,0.2756460100125231,0.040169374053703535,0.2243539899874769,1.1875,1.1875,1.159167,1.1675,1.108007,328800
2012-12-03,732726,139312,956440,1549854,3378332,1689166,1689166,872038,2506294,0.2581267915645946,0.7418732084354054,0.4587630818995883,0.2831101265358171,0.04123691810041168,0.21688987346418293,1.185417,1.190833,1.155417,1.155833,1.096935,640800
2012-12-04,775467,159904,1008683,1624246,3568300,1784150,1784150,935371,2632929,0.2621335089538436,0.7378664910461564,0.45518762435893845,0.282678866687218,0.04481237564106157,0.217321133312782,1.155417,1.189167,1.155417,1.18375,1.12343,333600
2012-12-05,760997,124378,985703,1622322,3493400,1746700,1746700,885375,2608025,0.2534422053014255,0.7465577946985744,0.46439629014713457,0.28216150455143985,0.0356037098528654,0.21783849544856015,1.174167,1.188333,1.164583,1.175,1.115125,444000
2012-12-06,725968,103126,960923,1583765,3373782,1686891,1686891,829094,2544688,0.24574616854319573,0.7542538314568042,0.46943311689966927,0.284820714557135,0.030566883100330726,0.21517928544286502,1.197917,1.212083,1.19,1.208333,1.14676,628800
2012-12-07,691019,96131,954153,1549041,3290344,1645172,1645172,787150,2503194,0.23923030540271778,0.7607696945972823,0.4707839058773186,0.2899857887199636,0.029216094122681398,0.21001421128003636,1.216667,1.21875,1.19875,1.2175,1.155459,379200
2012-12-10,678442,121994,970253,1526701,3297390,1648695,1648695,800436,2496954,0.2427483555175457,0.7572516444824543,0.4630028598376292,0.2942487846448251,0.036997140162370844,0.20575121535517485,1.220833,1.2325,1.210417,1.224167,1.161787,280800
2012-12-11,665558,113310,894001,1446249,3119118,1559559,1559559,778868,2340250,0.2497077699529162,0.7502922300470838,0.4636724227810554,0.2866198072660284,0.036327577218944584,0.2133801927339716,1.228333,1.285,1.228333,1.27875,1.213588,1288800
2012-12-12,677350,137301,920737,1460786,3196174,1598087,1598087,814651,2381523,0.2548831822047235,0.7451168177952765,0.4570420759320362,0.2880747418632402,0.04295792406796376,0.21192525813675978,1.291667,1.300417,1.2675,1.273333,1.208447,768000
2012-12-13,682945,130573,891393,1443765,3148676,1574338,1574338,813518,2335158,0.2583682792386387,0.7416317207613613,0.45853082374941084,0.2831008970119504,0.041469176250589136,0.21689910298804957,1.260833,1.295417,1.239167,1.245833,1.182349,372000
2012-12-14,633975,117071,883199,1400103,3034348,1517174,1517174,751046,2283302,0.24751478736123872,0.7524852126387612,0.46141807070250346,0.2910671419362578,0.03858192929749653,0.2089328580637422,1.235417,1.255,1.229167,1.24,1.176813,314400
2012-12-17,428545,172097,761665,1018113,2380420,1190210,1190210,600642,1779778,0.25232606010703995,0.74767393989296,0.4277030944119105,0.31997084548104954,0.0722969055880895,0.18002915451895043,1.25,1.257917,1.229167,1.252917,1.189072,247200
2012-12-18,458961,145557,862474,1175878,2642870,1321435,1321435,604518,2038352,0.22873542777359462,0.7712645722264054,0.4449246463125315,0.32633992591387395,0.05507535368746855,0.17366007408612608,1.265833,1.295833,1.25875,1.29375,1.227824,991200
2012-12-19,510612,156976,810602,1164238,2642428,1321214,1321214,667588,1974840,0.252641888445021,0.747358111554979,0.4405940294305086,0.30676408212447037,0.059405970569491394,0.19323591787552963,1.297917,1.327083,1.297917,1.30375,1.237315,1276800
2012-12-20,539173,150767,763290,1151696,2604926,1302463,1302463,689940,1914986,0.2648597311401552,0.7351402688598447,0.44212234819722324,0.2930179206626215,0.057877651802776736,0.2069820793373785,1.304167,1.310417,1.278333,1.301667,1.235338,314400
